Index,Electrolyte,Cathode,Difference in TEC,Average TEC
200,Ho1Li1S2,Li2Mn2Ni1O6,0.14984978,0.592107053
201,Dy1Li1S2,Li2Mn2Ni1O6,0.126810226,0.580587276
202,Li1S2Y1,Li2Mn2Ni1O6,0.047012768,0.540688547
203,Cs2Li1S4V1,Li2Mn2Ni1O6,0.085965255,0.560164791
204,B1Li3S3,Li2Mn2Ni1O6,0.199688913,0.61702662
205,B1Cs1Li2S3,Li2Mn2Ni1O6,0.142784534,0.58857443
206,Li1Rb2S4V1,Li2Mn2Ni1O6,0.075852276,0.555108301
207,Li2S3U1,Li2Mn2Ni1O6,0.063380623,0.548872475
208,Cd1Ge1Li2S4,Li2Mn2Ni1O6,0.23467502,0.634519673
209,Cs1Li1O4S1,Li2Mn2Ni1O6,0.131136602,0.582750464
210,Li3P1S4,Li2Mn2Ni1O6,0.293107461,0.663735894
211,Li1Rb2S4Ta1,Li2Mn2Ni1O6,0.009348604,0.521856465
212,K1Li1S1,Li2Mn2Ni1O6,0.94531805,0.989841188
213,B3Ba1Li1S6,Li2Mn2Ni1O6,0.011581427,0.522972876
214,B1Ba1Li1S3,Li2Mn2Ni1O6,0.070571362,0.552467844
215,H1Li1O4S1,Li2Mn2Ni1O6,0.042965752,0.538665039
216,Eu1Ge1Li2S4,Li2Mn2Ni1O6,0.19185995,0.613112138
217,I1Li6P1S5,Li2Mn2Ni1O6,0.700971727,0.867668027
218,Li1P1S4Zn1,Li2Mn2Ni1O6,0.201734598,0.618049462
219,Li1Nb1Rb2S4,Li2Mn2Ni1O6,0.040403319,0.537383823
220,As1Li1S2,Li2Mn2Ni1O6,0.249347837,0.641856082
221,Li1Rb1S1,Li2Mn2Ni1O6,0.993671866,1.014018096
222,Li1O4Rb1S1,Li2Mn2Ni1O6,0.123756484,0.579060405
223,Ge1Li2Pb1S4,Li2Mn2Ni1O6,0.245181184,0.639772755
224,Au1Li3S2,Li2Mn2Ni1O6,0.771468727,0.902916527
225,F1Li1Ni1O4S1,Li2Mn2Ni1O6,0.083768938,0.559066632
226,As1Li3S3,Li2Mn2Ni1O6,0.417114041,0.725739184
227,Au1Li1S1,Li2Mn2Ni1O6,0.577815784,0.806090055
228,Li1Na1S1,Li2Mn2Ni1O6,0.816687111,0.925525719
229,F1Li1O4S1Zn1,Li2Mn2Ni1O6,0.143444862,0.588904594
230,H2Li2O5S1,Li2Mn2Ni1O6,0.110224656,0.572294491
231,As1Eu1Li1S3,Li2Mn2Ni1O6,0.19576847,0.615066398
232,H1Li1S1,Li2Mn2Ni1O6,0.533957616,0.784160971
233,Li1S6Ti3,Li2Mn2Ni1O6,0.024996528,0.504683899
234,Li9N1S3,Li2Mn2Ni1O6,0.598274651,0.816319489
235,K1Li1O4S1,Li2Mn2Ni1O6,0.107366174,0.57086525
236,Li1Mo1S2,Li2Mn2Ni1O6,0.080204977,0.477079675
237,F1Fe1Li1O4S1,Li2Mn2Ni1O6,0.05273647,0.543550398
238,Li7P3S11,Li2Mn2Ni1O6,0.254517761,0.644441044
239,Li1S2V1,Li2Mn2Ni1O6,0.034128684,0.500117821
240,Cs1H4Li1O5S1,Li2Mn2Ni1O6,0.321595344,0.677979835
241,Ga2Ge1Li2S6,Li2Mn2Ni1O6,0.189393497,0.611878912
242,Li1O5S2Ti2Y2,Li2Mn2Ni1O6,0.10270206,0.465831133
243,H4K1Li1N2O6S2,Li2Mn2Ni1O6,0.085076076,0.559720201
244,Cs1H4Li1N2O6S2,Li2Mn2Ni1O6,0.120336591,0.577350459
245,Li2O4S1,Li2Mn2Ni1O6,0.050000248,0.542182287
246,Li2S1,Li2Mn2Ni1O6,0.654318976,0.844341651
247,H5Li1N2O4S1,Li2Mn2Ni1O6,0.393239052,0.713801689
248,Li2O5S2Ti2Y2,Li2Mn2Ni1O6,0.089187503,0.472588411
249,C1F3Li1O3S1,Li2Mn2Ni1O6,0.068305134,0.55133473
250,Eu1Li1O8S2,Li2Mn2Ni1O6,0.033176567,0.50059388
251,Li1S1,Li2Mn2Ni1O6,1.075538334,1.05495133
